Stock_ID,Company_Name,Fortune_500_Rank,Primary_Industry,City,State,County,Number_of_Employees,Indeed_Score,Glassdoor_Score
WRB,WR Berkley Corporation,372,Insurance,Greenwich,Connecticut,Fairfield County,7448,3.3,3.5
ATVI,Activision Blizzard,373,Software,Santa Monica,California,Los Angeles County,9500,3.5,3.5
AMT,American Tower,375,Real Estate,Boston ,Massachusetts,Suffolk County,5454,3.8,3.7
AFG,American Financial Group,376,Financial Services,Cincinnati,Ohio,Hamilton County,7600,4.2,4
DRI,Darden Restaurants,377,Food,Orlando,Florida,Orange County,175000,3.8,3.9
SJM,JM Smucker,378,Food,Orrville,Ohio,Wayne County,7300,3.7,3.7
INTU,Intuit,380,Software,Mountain View,California,Santa Clara County,10600,4.2,4.5
CFG,Citizens Financial Group,381,Financial Services,Providence,Rhode Island,Providence County,18100,3.4,3.7
PPL,PPL,382,Energy,Allentown,Pennsylvania,Lehigh County,5600,3.6,2.9
NVR,NVR,383,Construction,Reston,Virginia,Fairfax County,5600,3.4,4
WAB,Westinghouse Air Brake Technologies,384,Equipment,Wilmerding,Pennsylvania,Allegheny County,18000,3.5,3.7
FL,Foot Locker,385,Retail,New York City,New York,New York County,32175,3.9,3.7
CINF,Cincinnati Financial,386,Insurance,Cincinnati,Ohio,Hamilton County,4925,3.7,3.9
WY,Weyerhaeuser,387,Real Estate,Seattle,Washington,King County,9372,3.8,3.8
WLK,Westlake Chemical,388,Chemicals,Houston,Texas,Harris County,8870,3.7,4
MGLN,Magellan Health,390,Healthcare,Phoenix,Arizona,Maricopa County,9092,3.5,3.4
BAH,Booz Allen Hamilton Holding,391,Consulting,McLean,Virginia,Fairfax County,27173,3.9,4.2
SPGI,S&P Global,393,Financial Services,New York City,New York,New York County,22500,3.9,4.1
GPN,Global Payments,394,Financial Services,Atlanta,Georgia,Cobb County,24000,3.4,3.6
MSI,Motorola Solutions,395,Telecommunications,Chicago,Illinois,Cook County,18000,4.1,4
KEY,KeyCorp,396,Banking,Cleveland,Ohio,Cuyahoga County,16826,3.5,3.8
DK,Delek US Holdings,397,Energy,Brentwood,Tennessee,Williamson County,3814,2.7,3.1
MAS,Masco,398,Construction,Livonia,Michigan,Wayne County,26000,3.4,3.9
WEC,WEC Energy Group,400,Energy,Milwaukee,Wisconsin,Milwaukee County,8000,3.7,3.7
ORI,Old Republic International,401,Insurance,Chicago,Illinois,Cook County,8700,3.3,3.4
FYBR,Frontier Communications,402,Telecommunications,Norwalk,Connecticut,Fairfield County,16200,3.2,3
CHWY,Chewy,403,Ecommerce,Dania Beach,Florida,Broward County,18500,2.7,3.4
PVH,PVH,404,Apparel,Manhattan,New York,New York County,20000,3.8,3.8
ABG,Asbury Automotive Group,405,Automotive,Duluth,Georgia,Gwinnett County,8000,3.3,3.7
SEB,Seaboard,406,Agriculture,Merriam,Kansas,Johnson County,11800,3.7,3.9
PII,Polaris,407,Automotive,Medina,Minnesota,Hennepin County,15000,3.4,3.7
DAN,Dana,408,Automotive,Maumee,Ohio,Lucas County,36000,3.5,3.4
FAF,First American Financial,409,Financial Services,Santa Ana,California,Orange County,19597,3.7,3.7
CTAS,Cintas Corporation,410,Product Service,Cincinnati,Ohio,Hamilton County,40000,3.3,3.6
TOL,Toll Brothers,411,Construction,Fort Washington,Pennsylvania,Montgomery County,4500,3.8,3.8
SAIC,Science Applications International,412,IT Services,Reston,Virginia,Fairfax County,25500,4.5,4.1
OC,Owens Corning,413,Materials,Toledo,Ohio,Lucas County,19000,3.7,3.8
ZBH,Zimmer Biomet Holdings,414,Medical Equipment,Warsaw,Indiana,Kosciusko County,18200,3.5,3.6
XRX,Xerox Holdings,415,IT Services,Norwalk,Connecticut,Fairfield County,24700,3.4,3.3
AJG,Arthur J. Gallagher,416,Insurance,Rolling Meadows,Illinois,Cook County,31013,3.6,3.6
AVY,Avery Dennison,417,Materials,Glendale,California,Los Angeles County,32000,3.9,4
SANM,Sanmina,418,Electronics,San Jose ,California,Santa Clara County,40000,3.6,3.4
JEF,Jefferies Financial Group,419,Conglomerate,New York City,New York,New York County,4100,3.7,4
BECN,Beacon Roofing Supply,420,Materials,Herndon,Virginia,Fairfax County,7582,2.9,3.8
OSK,Oshkosh Corporation,422,Automotive,Oshkosh,Wisconsin,Winnebago County,16000,3.7,4
