Area,State,Year,Total,Mining_and_Logging,Construction,Manufacturing,Trade_transportation_and_utilities,Information,Financial_activities,Professional_and_business services,Education_and_health_services,Leisure_and_hospitality,Other_services,Government
"Cleveland-Elyria, OH",Ohio,2019,1080,,38.9,123.4,185.6,13.4,66.8,161.5,206.3,105.5,39.9,138.6
"Coeur d'Alene, ID",Idaho,2019,67.6,0.2,5.9,5.2,12.5,0.6,3.8,7.1,8.6,9.8,2.2,11.7
"College Station-Bryan, TX",Texas,2019,122.8,,7.8,5.6,16.8,1.4,4,9.7,12.7,17.5,3.4,43.9
"Colorado Springs, CO",Colorado,2019,300,,18.6,11.9,44.1,5.7,18.9,46.9,41.1,39.6,18.3,55
"Columbia, MO",South Carolina,2019,403.4,,17.3,31.7,72.6,6,31.5,51.4,51.2,40.6,16.8,84.2
"Columbia, SC",Missouri,2019,100.7,,,,15.3,,,,,,,29.8
"Columbus, GA-AL",Georgia,2019,122.5,,4.8,10.9,17.7,1.3,12.9,15,16.1,15.1,4.3,24.3
"Columbus, IN",Indiana,2019,53.1,,1.8,20.1,7.7,0.3,1.5,5.7,4.4,4.1,1.5,6.1
"Columbus, OH",Ohio,2019,1113.9,,44,73.6,213.2,17.2,86.6,182.1,163.1,109.1,42,183.1
"Corpus Christi, TX",Texas,2019,193.9,,24.4,8.4,33,1.6,8.4,18.7,32.4,26.2,6.2,34.5
"Corvallis, OR",Oregon,2019,43.5,,1.5,3.1,4.6,0.6,1.6,4.4,7.4,4.4,1.4,14.7
"Crestview-Fort Walton Beach-Destin, FL",Florida,2019,118.3,,6.9,3.2,21.2,1.3,7.1,17.9,12.5,22.6,4.9,20.8
"Cumberland, MD-WV",Maryland,2019,38.9,,,,,,,,,,,8.1
"Dallas-Fort Worth-Arlington, TX",Texas,2019,3790.5,,226.2,288.8,796.1,82.2,318.9,641.2,462.8,396.9,128.5,449.1
"Dalton, GA",Georgia,2019,66.6,,,23.8,13.5,,,6.7,,,,7
"Danville, IL",Illinois,2019,27.3,,0.6,5,6.7,0.1,1.1,2,2.6,2.2,1.2,5.8
"Daphne-Fairhope-Foley, AL",Alabama,2019,80.5,,,,,,,,,,,10
"Davenport-Moline-Rock Island, IA-IL",Illinois,2019,186.5,,10,23.9,37.6,1.5,7.4,25.4,27.9,19,7.6,26.1
"Dayton-Kettering, OH",Ohio,2019,391.9,,13.7,43.7,65.6,7.7,18.2,52.4,74.8,39.7,13.9,62.2
"Decatur, AL",Alabama,2019,57.5,,4.2,13.3,10.5,0.3,2.1,6,5.2,5.3,2.2,8.4
"Decatur, IL",Illinois,2019,50.6,,3.1,11.1,10.2,0.4,1.9,2.4,8.5,4.9,2.3,5.8
"Deltona-Daytona Beach-Ormond Beach, FL",Florida,2019,206.2,,14.2,11.4,38.9,2.4,8.7,23.4,40.7,32.9,8.9,24.9
"Denver-Aurora-Lakewood, CO",Colorado,2019,1538.4,,111.9,70.8,279.3,51.6,113.1,280.8,192.1,172.8,59.4,206.7
"Des Moines-West Des Moines, IA",Iowa,2019,374.1,,20.4,21.2,69.5,6.6,56.3,50.4,53.9,37.1,13.7,44.9
"Detroit-Warren-Dearborn, MI",Michigan,2019,2043.6,,76.2,257.5,380.1,28.3,121.6,393.6,319.5,201.3,75.6,189.9
"Dothan, AL",Alabama,2019,60,,2.7,5.4,15.5,0.5,2.1,5,8.9,6.5,2.8,10.7
"Dover, DE",Delaware,2019,70.5,,2.8,4.9,13.5,0.5,1.7,5.4,11.5,8.3,2.7,19.3
"Dubuque, IA",Iowa,2019,60.7,,,,12.4,,,,,,,4.8
"Duluth, MN-WI",Minnesota,2019,137.2,,9.6,8.2,24.4,1.3,5.6,7.7,33,14.8,6.4,26.2
"Durham-Chapel Hill, NC",North Carolina,2019,328.4,,9.1,33.5,39.3,5.2,15.4,45.5,72.8,28.6,12,67.1
"East Stroudsburg, PA",Pennsylvania,2019,59.7,,1.9,5,12.5,,,4.3,8.1,12,,11.5
"Eau Claire, WI",Wisconsin,2019,87.6,,3.8,10.9,17.4,0.8,3.9,9.5,16.5,8.8,4.4,11.7
"El Centro, CA",California,2019,53.3,,1.9,1.6,11.9,0.3,1.2,3,9,4.4,0.9,19.1
"Elizabethtown-Fort Knox, KY",Texas,2019,324.9,,17,17.5,67.7,4.7,13.3,37.1,48,38.1,9.1,72.3
"Elkhart-Goshen, IN",Kentucky,2019,56.5,,2,8.1,9.3,,,5.3,5.2,6,,15.3
"Elmira, NY",Indiana,2019,137.5,,4.2,66.2,20.2,0.4,3.2,10.3,12.2,7.8,4.3,8.7
"El Paso, TX",New York,2019,37,,1.5,5.1,7.8,0.5,1.2,2,7.3,3.5,1.5,6.6
"Enid, OK",Oklahoma,2019,25.5,,,,,,,,,,,3.7
"Erie, PA",Pennsylvania,2019,128.1,,4.2,19.9,21.2,1,6.5,10.1,29.4,14.2,6,15.7
"Eugene-Springfield, OR",Oregon,2019,164.4,0.9,7.6,14.3,30.4,2.3,8.2,18.2,30,17.8,5.4,29.3
"Evansville, IN-KY",Indiana,2019,161.3,,10.2,23.4,31,1.9,5.6,20.3,28.6,16.3,7.7,16.4
"Fairbanks, AK",Alaska,2019,37.9,0.8,2.7,0.6,7.8,0.4,1.2,2.8,5.6,4.6,1,10.5
"Fargo, ND-MN",North Dakota,2019,145,,8.8,10.2,30.4,3.1,11.6,14.1,28,14.5,5,19.2
"Farmington, NM",New Mexico,2019,47.5,,,,,,,,,,,11.1
